,code,road,desc,lat,lng,in_WD,in_H,out_WD,out_H,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
0,01012,Victoria St,Hotel Grand Pacific,1.29684825487647,103.85253591654006,695.9508196721312,308.51666666666665,712.1147540983607,322.93333333333334,VICTORIA,RCSZ10,ROCHOR,RC,CENTRAL REGION,CR
1,01013,Victoria St,St. Joseph's Ch,1.29770970610083,103.8532247463225,494.7758620689655,219.3684210526316,256.0,113.45614035087719,VICTORIA,RCSZ10,ROCHOR,RC,CENTRAL REGION,CR
2,01019,Victoria St,Bras Basah Cplx,1.29698951191332,103.85302201172507,331.2758620689655,132.38333333333333,613.4655172413793,262.96666666666664,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
3,01029,Nth Bridge Rd,Opp Natl Lib,1.2966729849642,103.85441422464267,695.4166666666666,312.4,568.8,239.56666666666666,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
4,01039,Nth Bridge Rd,Bugis Cube,1.29820784139683,103.85549139837407,891.25,490.8,958.3833333333333,496.55,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
5,01059,Victoria St,Bugis Stn Exit B,1.30075679526626,103.85611040457583,206.31147540983608,91.53333333333333,1481.049180327869,670.5,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
6,01109,Queen St,Queen St Ter,1.30358577565355,103.85650372998224,21.205882352941178,7.363636363636363,42.588235294117645,18.21212121212121,ROCHOR CANAL,RCSZ04,ROCHOR,RC,CENTRAL REGION,CR
7,01112,Victoria St,Opp Bugis Stn Exit C,1.30009212839081,103.85520027125814,3397.0666666666666,1782.3333333333333,1797.6666666666667,977.5263157894736,VICTORIA,RCSZ10,ROCHOR,RC,CENTRAL REGION,CR
8,01113,Victoria St,Bugis Stn Exit A,1.30117297541547,103.8561140106393,2275.3870967741937,1065.05,907.6935483870968,466.21666666666664,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
9,01119,Victoria St,Aft Bugis Stn Exit C,1.2996041093804,103.85512934079571,822.1129032258065,456.28333333333336,969.4677419354839,567.7333333333333,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
10,01121,Victoria St,Stamford Pr Sch,1.30393809691048,103.85867999243207,1011.4590163934427,292.9,804.3770491803278,273.5833333333333,ROCHOR CANAL,RCSZ04,ROCHOR,RC,CENTRAL REGION,CR
11,01129,Victoria St,Opp Stamford Pr Sch,1.30350269187301,103.85864530718491,191.94915254237287,88.0701754385965,305.40677966101697,134.56140350877192,KAMPONG GLAM,RCSZ05,ROCHOR,RC,CENTRAL REGION,CR
12,01139,Nth Bridge Rd,Parkview Sq,1.30033057855542,103.85716080665901,468.8333333333333,206.31666666666666,751.8,310.28333333333336,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
13,01211,Victoria St,Opp Blk 461,1.30551803523268,103.8605449516032,1303.758064516129,507.6,1013.516129032258,433.3666666666667,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
14,01219,Victoria St,Blk 461,1.30526598535719,103.86072019914616,420.3114754098361,172.73333333333332,567.0327868852459,218.16666666666666,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
15,01229,Nth Bridge Rd,Bef Sultan Mque,1.30337552638813,103.85963089198265,573.9833333333333,263.51666666666665,535.9,216.01666666666668,KAMPONG GLAM,RCSZ05,ROCHOR,RC,CENTRAL REGION,CR
16,01231,Jln Sultan,Opp Textile Ctr,1.3032499999752,103.8610830559663,233.03508771929825,77.43859649122807,52.8421052631579,11.210526315789474,KAMPONG GLAM,RCSZ05,ROCHOR,RC,CENTRAL REGION,CR
17,01239,Jln Sultan,Sultan Plaza,1.30291236608351,103.86161817611134,336.14814814814815,122.64814814814815,509.7037037037037,163.46296296296296,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
18,01311,Kallang Rd,Lavender Stn Exit B,1.3070916463394,103.86219695240973,3399.9206349206347,1303.8166666666666,1853.3650793650793,694.9666666666667,LAVENDER,KLSZ06,KALLANG,KL,CENTRAL REGION,CR
19,01319,Kallang Rd,Lavender Stn Exit A/ICA,1.30757426746418,103.86325596123476,825.5901639344262,293.7,1902.1311475409836,669.0333333333333,LAVENDER,KLSZ06,KALLANG,KL,CENTRAL REGION,CR
