,line,operator,direction,sequence,stop_id,distance,WD_FirstBus,WD_LastBus,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus
0,10,SBST,1,1,75009,0,500,2300,500,2300,500,2300
1,10,SBST,1,2,76059,0.6,502,2302,502,2302,502,2302
2,10,SBST,1,3,76069,1.1,504,2304,504,2304,503,2304
3,10,SBST,1,4,96289,2.3,508,2308,508,2309,507,2308
4,10,SBST,1,5,96109,2.7,509,2310,509,2311,508,2309
5,10,SBST,1,6,85079,3.3,511,2312,511,2313,510,2311
6,10,SBST,1,7,85089,3.5,512,2313,512,2314,511,2312
7,10,SBST,1,8,85069,3.8,513,2314,513,2315,512,2313
8,10,SBST,1,9,85059,4.1,514,2315,514,2316,513,2314
9,10,SBST,1,10,85049,4.5,515,2316,515,2317,514,2315
10,10,SBST,1,11,85039,4.8,517,2318,517,2319,516,2317
11,10,SBST,1,12,85029,5,517,2318,517,2319,516,2317
12,10,SBST,1,13,85019,5.2,518,2319,518,2320,517,2318
13,10,SBST,1,14,94079,5.5,519,2320,519,2321,518,2319
14,10,SBST,1,15,94069,6.1,520,2321,520,2322,519,2321
15,10,SBST,1,16,94059,6.4,521,2322,521,2323,520,2322
16,10,SBST,1,17,94049,6.8,522,2323,522,2324,521,2323
17,10,SBST,1,18,94089,7,522,2323,522,2324,521,2323
18,10,SBST,1,19,94039,7.3,523,2324,523,2325,522,2324
19,10,SBST,1,20,94029,7.7,524,2325,524,2326,523,2325
20,10,SBST,1,21,94019,7.9,525,2325,525,2326,524,2326
21,10,SBST,1,22,93099,8.3,526,2326,526,2327,525,2327
22,10,SBST,1,23,93089,8.8,527,2327,527,2328,526,2329
23,10,SBST,1,24,93079,9.1,528,2328,528,2329,527,2330
24,10,SBST,1,25,93069,9.4,529,2329,529,2330,528,2331
25,10,SBST,1,26,93059,9.8,530,2330,530,2331,529,2332
26,10,SBST,1,27,92159,10.1,531,2331,531,2332,530,2333
27,10,SBST,1,28,92149,10.4,533,2332,532,2333,531,2334
28,10,SBST,1,29,92139,10.7,534,2332,532,2334,531,2335
29,10,SBST,1,30,92129,11.2,535,2334,534,2336,533,2337
30,10,SBST,1,31,92119,11.7,537,2335,535,2337,534,2338
31,10,SBST,1,32,92109,11.9,538,2336,536,2338,535,2339
32,10,SBST,1,33,92099,12.2,539,2336,536,2339,535,2339
33,10,SBST,1,34,92161,12.7,541,2338,538,2341,537,2341
34,10,SBST,1,35,82071,13.1,542,2339,539,2342,538,2342
35,10,SBST,1,36,81199,13.9,543,2341,541,2344,540,2344
36,10,SBST,1,37,81189,14.2,544,2341,541,2345,540,2344
37,10,SBST,1,38,81179,14.7,545,2342,542,2346,541,2345
38,10,SBST,1,39,80141,15.3,546,2343,544,2347,543,2347
39,10,SBST,1,40,80219,16,547,2345,546,2349,545,2349
40,10,SBST,1,41,80169,17.4,550,2348,549,2353,548,2352
41,10,SBST,1,42,80159,18.1,552,2350,551,2355,550,2353
42,10,SBST,1,43,2119,18.6,553,2351,552,2356,551,2354
43,10,SBST,1,44,3019,19.6,556,2354,554,2359,553,2356
44,10,SBST,1,45,3059,19.9,557,2355,555,2400,554,2357
45,10,SBST,1,46,3129,20.3,558,2356,556,1,555,2358
46,10,SBST,1,47,3217,20.7,559,2357,557,2,556,2359
47,10,SBST,1,48,5649,21.6,602,2359,600,4,559,1
48,10,SBST,1,49,14061,21.9,603,2400,600,5,559,2
49,10,SBST,1,50,14071,22.4,604,1,601,6,600,3
50,10,SBST,1,51,14081,22.8,606,3,602,7,601,4
51,10,SBST,1,52,14101,23.2,607,4,603,8,602,4
52,10,SBST,1,53,14141,24,609,6,604,10,603,6
53,10,SBST,1,54,14121,24.3,610,7,605,11,604,7
54,10,SBST,1,55,14131,24.7,611,8,606,12,605,8
55,10,SBST,1,56,14151,25.2,612,10,607,14,606,9
56,10,SBST,1,57,14161,25.6,613,11,608,15,607,10
57,10,SBST,1,58,14171,26,614,12,609,16,608,11
58,10,SBST,1,59,15141,26.7,616,14,610,17,609,12
59,10,SBST,1,60,15151,27,617,14,611,18,610,13
60,10,SBST,1,61,15161,27.2,618,15,611,18,610,13
61,10,SBST,1,62,15191,27.7,619,16,612,19,611,14
62,10,SBST,1,63,15201,28,620,17,613,20,612,15
63,10,SBST,1,64,15221,28.6,621,18,614,21,613,16
64,10,SBST,1,65,16201,28.9,622,18,614,21,613,17
65,10,SBST,1,66,16011,29.2,623,19,615,22,614,18
66,10,SBST,1,67,16021,29.7,624,20,616,23,615,19
67,10,SBST,1,68,16031,30,625,21,617,24,616,20
68,10,SBST,1,69,16041,30.2,625,21,617,25,616,20
