,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,lat,lng,building,addr,postal,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
0,1,BEACH RD,16,1970,Y,Y,N,N,N,N,KWN,142,0,1,138,1,2,0,0,0,0,0,0,0,1.29509740789339,103.85406834457,RAFFLES HOTEL,1 BEACH ROAD RAFFLES HOTEL SINGAPORE 189673,189673,2,CITY HALL,DTSZ02,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1,1,BEDOK STH AVE 1,14,1975,Y,N,N,Y,N,N,BD,206,0,0,204,0,2,0,0,0,0,0,0,0,1.32085208689731,103.933721091441,NIL,1 BEDOK SOUTH AVENUE 1 SINGAPORE 460001,460001,6,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
2,1,CANTONMENT RD,2,2010,N,Y,N,N,N,N,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27548808568155,103.841419048957,PINNACLE @ DUXTON,1 CANTONMENT ROAD PINNACLE @ DUXTON SINGAPORE 080001,080001,3,CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
3,1,CHAI CHEE RD,15,1982,Y,N,N,N,N,N,BD,102,0,0,0,10,92,0,0,0,0,0,0,0,1.32796879176302,103.922716018139,PING YI GARDENS,1 CHAI CHEE ROAD PING YI GARDENS SINGAPORE 461001,461001,3,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4,1,CHANGI VILLAGE RD,4,1975,Y,Y,N,N,N,N,PRC,55,0,0,54,0,1,0,0,0,0,0,0,0,1.3886100383707,103.988093482829,OCBC CHANGI VILLAGE ROAD - 7 ELEVEN,1 CHANGI VILLAGE ROAD OCBC CHANGI VILLAGE ROAD - 7 ELEVEN SINGAPORE 500001,500001,1,CHANGI POINT,CHSZ01,CHANGI,CH,EAST REGION,ER
5,1,DELTA AVE,25,1982,Y,N,N,N,N,N,BM,96,0,0,0,0,96,0,0,0,0,0,0,0,1.2920752508431,103.828584077626,NIL,1 DELTA AVENUE SINGAPORE 160001,160001,9,BUKIT HO SWEE,BMSZ09,BUKIT MERAH,BM,CENTRAL REGION,CR
6,1,DOVER RD,12,1975,Y,N,N,Y,N,N,QT,125,0,0,118,0,7,0,0,0,0,0,0,0,1.3025299473495,103.783271662459,DOVER COMMUNITY CENTRE,1 DOVER ROAD DOVER COMMUNITY CENTRE SINGAPORE 130001,130001,10,DOVER,QTSZ10,QUEENSTOWN,QT,CENTRAL REGION,CR
7,1,EUNOS CRES,14,1977,Y,N,N,Y,N,N,GL,247,0,0,0,0,0,0,0,0,0,247,0,0,1.3206576452482,103.90246344511,NIL,1 EUNOS CRESCENT SINGAPORE 400001,400001,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
8,1,EVERTON PK,12,1980,Y,Y,N,N,N,N,BM,95,0,0,62,0,33,0,0,0,0,0,0,0,1.27549895431693,103.841398475091,DBS EVERTON PARK,1 CANTONMENT ROAD DBS EVERTON PARK SINGAPORE 080001,080001,3,CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
9,1,GEYLANG SERAI,2,2009,N,Y,N,N,N,N,GL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31649415743907,103.896788418353,WISMA GEYLANG SERAI,1 ENGKU AMAN TURN WISMA GEYLANG SERAI SINGAPORE 408528,408528,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
10,1,GHIM MOH RD,15,1975,Y,N,N,Y,N,N,QT,220,0,0,216,0,4,0,0,0,0,0,0,0,1.31287975684307,103.786855017635,GHIM MOH GREEN,1 GHIM MOH ROAD GHIM MOH GREEN SINGAPORE 270001,270001,1,GHIM MOH,QTSZ01,QUEENSTOWN,QT,CENTRAL REGION,CR
11,1,HAIG RD,15,1976,Y,N,N,Y,N,N,GL,219,0,0,214,0,5,0,0,0,0,0,0,0,1.31129091782202,103.897703436187,MY FIRST SKOOL,1 HAIG ROAD MY FIRST SKOOL SINGAPORE 430001,430001,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
12,1,HOLLAND CL,13,1973,Y,N,N,Y,N,N,QT,319,0,0,0,0,0,0,0,0,319,0,0,0,1.30921937771543,103.796732386696,NIL,1 HOLLAND CLOSE SINGAPORE 271001,271001,2,HOLLAND DRIVE,QTSZ02,QUEENSTOWN,QT,CENTRAL REGION,CR
